名目原系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
7- 9.,"128,128.4 ","73,098.7 ","71,631.9 ","59,794.4 ","5,176.9 ","21,136.3 ",-118.8 ,"21,294.5 ","5,774.2 ",-3.2 ,"1,769.8 ","21,284.6 ","19,514.8 ",,"3,866.2 ","5,164.4 ","1,298.2 ","131,994.6 ",,"126,358.6 ","99,293.1 ","27,065.5 ",,"32,087.4 ",,"128,250.4 ",,,,,,
10-12.,"139,163.3 ","75,688.2 ","73,706.9 ","61,816.8 ","5,191.7 ","20,800.8 ","1,786.9 ","25,809.7 ","7,493.2 ",-17.7 ,"2,410.5 ","22,207.9 ","19,797.4 ",,"2,946.0 ","4,913.4 ","1,967.4 ","142,109.3 ",,"136,752.8 ","103,467.6 ","33,285.2 ",,"33,485.7 ",,"137,394.0 ",,,,,,
2007/ 1- 3.,"131,712.0 ","73,307.8 ","72,221.3 ","60,271.8 ","4,816.5 ","23,584.9 ","-2,407.9 ","21,945.1 ","7,805.5 ",6.7 ,"2,653.6 ","22,216.5 ","19,562.9 ",,"4,817.5 ","6,262.6 ","1,445.1 ","136,529.5 ",,"129,058.4 ","99,301.2 ","29,757.2 ",,"36,206.8 ",,"134,113.2 ",,,,,,
4- 6.,"131,836.0 ","73,205.4 ","71,769.6 ","59,775.4 ","4,726.5 ","19,131.0 ","1,885.3 ","25,673.0 ","5,018.2 ",27.1 ,"2,169.5 ","22,787.3 ","20,617.8 ",,"3,683.7 ","5,949.9 ","2,266.2 ","135,519.7 ",,"129,666.5 ","98,948.2 ","30,718.4 ",,"28,875.8 ",,"129,923.6 ",,,,,,
7- 9.,"129,386.6 ","73,697.3 ","72,227.4 ","60,185.2 ","4,677.6 ","20,982.1 ",110.1 ,"21,475.4 ","5,649.7 ",-10.8 ,"2,805.1 ","23,597.1 ","20,792.0 ",,"4,280.1 ","6,043.9 ","1,763.8 ","133,666.7 ",,"126,581.5 ","99,467.1 ","27,114.4 ",,"31,309.5 ",,"129,287.3 ",,,,,,
10-12.,"138,753.6 ","75,824.0 ","73,905.0 ","61,809.2 ","4,059.2 ","20,369.5 ","2,327.5 ","26,321.2 ","7,410.8 ",6.1 ,"2,435.3 ","24,409.0 ","21,973.7 ",,"3,181.2 ","5,459.5 ","2,278.3 ","141,934.8 ",,"136,318.3 ","102,580.2 ","33,738.1 ",,"31,839.5 ",,"136,420.0 ",,,,,,
2008/ 1- 3.,"130,946.6 ","74,115.5 ","73,024.4 ","60,870.9 ","3,942.2 ","23,400.8 ","-2,585.0 ","22,411.7 ","7,618.8 ",69.5 ,"1,973.0 ","23,565.0 ","21,592.0 ",,"4,879.1 ","6,181.5 ","1,302.4 ","135,825.7 ",,"128,973.6 ","98,873.6 ","30,100.0 ",,"34,961.8 ",,"133,462.1 ",,,,,,
4- 6.,"129,711.6 ","72,694.3 ","71,284.6 ","59,092.5 ","4,149.6 ","18,838.8 ","2,682.5 ","25,581.0 ","4,894.2 ",-5.9 ,877.0 ,"23,312.4 ","22,435.4 ",,"2,701.6 ","4,921.1 ","2,219.5 ","132,413.2 ",,"128,834.6 ","98,365.3 ","30,469.3 ",,"27,882.6 ",,"127,035.0 ",,,,,,
7- 9.,"126,389.4 ","74,167.4 ","72,698.1 ","60,446.3 ","4,714.7 ","20,655.1 ",-415.6 ,"21,515.6 ","5,645.4 ",-42.0 ,148.7 ,"24,577.6 ","24,428.9 ",,"3,835.5 ","5,111.8 ","1,276.3 ","130,224.8 ",,"126,240.6 ","99,121.5 ","27,119.1 ",,"31,015.2 ",,"126,847.0 ",,,,,,
10-12.,"133,668.1 ","73,975.2 ","72,094.9 ","59,831.9 ","4,685.8 ","19,152.4 ","3,319.3 ","26,092.2 ","7,077.7 ",26.1 ,-660.5 ,"19,274.7 ","19,935.2 ",,"2,227.8 ","3,953.7 ","1,725.9 ","135,895.9 ",,"134,328.6 ","101,132.7 ","33,195.9 ",,"30,915.9 ",,"130,322.7 ",,,,,,
2009/ 1- 3.,"119,712.9 ","70,580.4 ","69,509.9 ","57,244.5 ","3,979.4 ","20,195.0 ","-3,923.1 ","22,150.1 ","7,497.3 ",-4.6 ,-761.6 ,"13,267.3 ","14,028.9 ",,"3,366.0 ","4,344.9 ",978.9 ,"123,078.8 ",,"120,474.4 ","90,831.7 ","29,642.7 ",,"31,671.8 ",,"123,640.6 ",,,,,,
4- 6.,"121,352.8 ","70,391.5 ","68,979.5 ","56,698.9 ","3,464.1 ","15,697.3 ",300.3 ,"25,556.3 ","5,270.4 ",7.4 ,665.6 ,"14,503.8 ","13,838.3 ",,"2,891.9 ","4,397.8 ","1,505.9 ","124,244.8 ",,"120,687.3 ","89,853.2 ","30,834.1 ",,"24,431.8 ",,"121,045.2 ",,,,,,
7- 9.,"119,512.4 ","71,865.6 ","70,373.1 ","58,082.2 ","3,465.0 ","16,829.6 ","-1,664.0 ","22,044.0 ","5,913.5 ",-11.2 ,"1,070.1 ","16,141.2 ","15,071.2 ",,"3,388.2 ","4,277.2 ",889.0 ,"122,900.7 ",,"118,442.4 ","90,496.1 ","27,946.3 ",,"26,208.0 ",,"121,187.7 ",,,,,,
10-12.,"128,922.9 ","73,475.3 ","71,611.4 ","59,306.6 ","3,365.4 ","16,245.4 ",205.5 ,"26,361.5 ","7,536.7 ",10.4 ,"1,722.8 ","17,377.6 ","15,654.9 ",,"2,318.7 ","3,518.4 ","1,199.7 ","131,241.6 ",,"127,200.1 ","93,291.6 ","33,908.6 ",,"27,147.5 ",,"128,707.0 ",,,,,,
2010/ 1- 3.,"122,168.8 ","71,193.9 ","70,072.3 ","57,767.1 ","3,251.4 ","18,743.4 ","-3,517.2 ","22,593.9 ","7,850.5 ",33.2 ,"2,019.8 ","18,140.5 ","16,120.8 ",,"3,726.1 ","4,622.2 ",896.1 ,"125,895.0 ",,"120,149.1 ","89,671.4 ","30,477.6 ",,"29,845.3 ",,"125,652.8 ",,,,,,
4- 6.,"123,409.3 ","71,081.2 ","69,582.9 ","57,271.4 ","3,218.8 ","15,273.4 ","1,056.3 ","26,067.0 ","4,983.5 ",-7.8 ,"1,736.8 ","18,996.0 ","17,259.2 ",,"2,867.6 ","4,518.5 ","1,650.9 ","126,276.9 ",,"121,672.5 ","90,629.7 ","31,042.8 ",,"23,475.8 ",,"122,360.8 ",,,,,,
7- 9.,"124,112.9 ","73,138.5 ","71,586.8 ","59,256.8 ","3,507.5 ","17,015.6 ",453.0 ,"22,449.7 ","5,730.6 ",-57.6 ,"1,875.4 ","18,979.4 ","17,104.0 ",,"3,757.6 ","4,689.9 ",932.3 ,"127,870.4 ",,"122,237.4 ","94,114.6 ","28,122.8 ",,"26,253.7 ",,"123,717.4 ",,,,,,
10-12.,"130,663.0 ","73,542.8 ","71,622.6 ","59,272.7 ","3,659.2 ","16,562.0 ","1,890.7 ","26,416.4 ","6,928.2 ",-12.0 ,"1,675.7 ","19,120.9 ","17,445.2 ",,"2,573.7 ","3,984.4 ","1,410.7 ","133,236.7 ",,"128,987.3 ","95,654.7 ","33,332.5 ",,"27,149.4 ",,"128,784.3 ",,,,,,
2011/ 1- 3.,"121,243.9 ","69,978.1 ","68,773.3 ","56,435.1 ","3,478.9 ","19,269.5 ","-2,366.7 ","23,220.1 ","7,021.0 ",16.7 ,626.4 ,"18,817.1 ","18,190.7 ",,"4,054.7 ","4,990.1 ",935.4 ,"125,298.5 ",,"120,617.4 ","90,359.7 ","30,257.7 ",,"29,769.4 ",,"123,593.9 ",,,,,,
4- 6.,"119,748.3 ","69,846.7 ","68,198.3 ","55,896.4 ","3,330.7 ","15,149.8 ","1,480.3 ","26,408.6 ","4,877.5 ",6.7 ,"-1,352.0 ","17,512.5 ","18,864.5 ",,"3,349.7 ","4,918.6 ","1,568.9 ","123,098.1 ",,"121,100.4 ","89,807.5 ","31,292.8 ",,"23,358.0 ",,"118,261.3 ",,,,,,
7- 9.,"121,518.8 ","72,352.5 ","70,666.6 ","58,351.3 ","3,775.0 ","17,205.1 ",384.6 ,"22,816.2 ","5,505.5 ",3.7 ,-523.9 ,"18,870.3 ","19,394.2 ",,"3,970.6 ","4,914.1 ",943.5 ,"125,489.5 ",,"122,042.8 ","93,717.3 ","28,325.5 ",,"26,485.7 ",,"121,130.5 ",,,,,,
10-12.,"128,897.4 ","74,077.6 ","72,011.5 ","59,682.4 ","3,753.3 ","17,782.0 ","1,447.9 ","26,759.6 ","6,489.1 ",6.8 ,"-1,418.9 ","18,142.9 ","19,561.8 ",,"2,545.0 ","3,896.6 ","1,351.6 ","131,442.5 ",,"130,316.4 ","97,060.8 ","33,255.6 ",,"28,024.4 ",,"127,442.7 ",,,,,,
2012/ 1- 3.,"123,877.8 ","72,365.1 ","71,015.5 ","58,677.4 ","3,431.1 ","20,274.1 ","-1,948.1 ","23,757.9 ","7,321.5 ",9.4 ,"-1,333.1 ","18,573.7 ","19,906.8 ",,"3,741.5 ","4,663.4 ",921.9 ,"127,619.4 ",,"125,211.0 ","94,122.2 ","31,088.8 ",,"31,026.8 ",,"125,816.6 ",,,,,,
4- 6.,"122,133.2 ","71,406.2 ","69,647.1 ","57,299.3 ","3,438.5 ","16,338.0 ","1,329.9 ","26,483.0 ","4,866.1 ",19.9 ,"-1,748.5 ","18,486.1 ","20,234.6 ",,"3,091.4 ","4,828.6 ","1,737.2 ","125,224.6 ",,"123,881.7 ","92,512.7 ","31,369.0 ",,"24,642.7 ",,"120,783.4 ",,,,,,
7- 9.,"120,578.9 ","72,267.6 ","70,498.7 ","58,143.7 ","3,767.7 ","17,793.3 ",349.3 ,"23,029.6 ","5,476.0 ",11.4 ,"-2,115.9 ","17,523.2 ","19,639.1 ",,"3,797.5 ","4,736.0 ",938.5 ,"124,376.4 ",,"122,694.8 ","94,177.8 ","28,517.0 ",,"27,036.9 ",,"120,218.3 ",,,,,,
10-12.,"128,367.2 ","74,202.8 ","72,011.7 ","59,636.7 ","3,936.3 ","17,563.6 ","1,381.5 ","26,970.4 ","6,759.5 ",10.8 ,"-2,457.6 ","17,407.2 ","19,864.8 ",,"2,627.5 ","4,157.2 ","1,529.7 ","130,994.7 ",,"130,824.8 ","97,084.1 ","33,740.7 ",,"28,259.4 ",,"126,975.0 ",,,,,,
2013/ 1- 3.,"123,290.4 ","72,958.4 ","71,495.6 ","59,113.8 ","3,772.7 ","20,164.0 ","-2,318.7 ","23,875.3 ","7,296.6 ",-23.1 ,"-2,434.8 ","19,112.6 ","21,547.4 ",,"4,193.8 ","5,302.9 ","1,109.1 ","127,484.3 ",,"125,725.3 ","94,576.4 ","31,148.9 ",,"31,233.3 ",,"125,632.2 ",,,,,,
4- 6.,"123,962.3 ","72,677.8 ","70,910.2 ","58,518.4 ","3,712.9 ","16,807.6 ",858.7 ,"27,003.3 ","5,019.3 ",5.9 ,"-2,123.3 ","20,228.9 ","22,352.1 ",,"4,509.6 ","6,678.5 ","2,169.0 ","128,471.8 ",,"126,085.5 ","94,057.0 ","32,028.5 ",,"25,539.8 ",,"123,097.6 ",,,,,,
7- 9.,"124,080.0 ","74,575.8 ","72,791.5 ","60,382.7 ","4,168.7 ","18,890.0 ",-177.7 ,"23,421.2 ","6,203.9 ",-27.8 ,"-2,974.1 ","20,174.3 ","23,148.3 ",,"4,880.0 ","6,321.9 ","1,442.0 ","128,960.0 ",,"127,054.1 ","97,456.8 ","29,597.2 ",,"29,262.6 ",,"124,285.5 ",,,,,,
10-12.,"131,842.8 ","76,460.7 ","74,248.7 ","61,827.3 ","4,447.3 ","19,082.9 ",972.7 ,"27,169.4 ","7,815.5 ",19.4 ,"-4,125.1 ","20,566.7 ","24,691.7 ",,"3,308.6 ","5,369.0 ","2,060.5 ","135,151.4 ",,"135,967.9 ","100,963.6 ","35,004.3 ",,"31,345.8 ",,"130,850.8 ",,,,,,
2014/ 1- 3.,"127,370.1 ","76,103.9 ","74,597.8 ","62,160.5 ","4,297.8 ","22,683.2 ","-3,251.4 ","24,253.2 ","7,857.9 ",41.2 ,"-4,615.7 ","21,822.1 ","26,437.7 ",,"4,751.7 ","6,340.5 ","1,588.9 ","132,121.7 ",,"131,985.7 ","99,833.5 ","32,152.3 ",,"34,838.8 ",,"130,580.3 ",,,,,,
4- 6.,"126,615.9 ","72,799.3 ","71,117.8 ","58,682.1 ","3,858.1 ","17,741.7 ","2,133.9 ","27,497.6 ","5,217.7 ",0.8 ,"-2,633.3 ","21,770.4 ","24,403.6 ",,"4,000.2 ","6,796.8 ","2,796.6 ","130,616.1 ",,"129,249.2 ","96,533.1 ","32,716.1 ",,"26,817.6 ",,"124,481.2 ",,,,,,
7- 9.,"125,507.4 ","74,671.9 ","72,991.9 ","60,546.5 ","3,865.8 ","19,747.1 ",34.9 ,"23,934.3 ","6,310.5 ",44.2 ,"-3,101.3 ","22,251.6 ","25,352.8 ",,"5,512.2 ","7,240.0 ","1,727.8 ","131,019.6 ",,"128,608.7 ","98,319.7 ","30,289.0 ",,"29,923.4 ",,"125,428.3 ",,,,,,
10-12.,"134,382.6 ","76,508.0 ","74,370.7 ","61,913.8 ","3,937.3 ","19,772.5 ",751.1 ,"27,876.5 ","7,856.1 ",-1.3 ,"-2,317.7 ","24,291.5 ","26,609.1 ",,"4,229.7 ","6,957.9 ","2,728.2 ","138,612.3 ",,"136,700.3 ","100,969.0 ","35,731.3 ",,"31,566.0 ",,"133,632.9 ",,,,,,
2015/ 1- 3.,"131,729.2 ","74,483.2 ","73,084.6 ","60,629.5 ","3,856.4 ","23,851.9 ","-2,550.3 ","24,944.9 ","7,759.9 ",45.4 ,-662.2 ,"24,021.7 ","24,683.8 ",,"5,446.3 ","7,206.7 ","1,760.4 ","137,175.5 ",,"132,391.4 ","99,641.2 ","32,750.2 ",,"35,468.2 ",,"134,234.2 ",,,,,,
4- 6.,"131,433.8 ","74,098.7 ","72,224.8 ","59,759.1 ","3,769.3 ","18,626.2 ","2,258.1 ","27,809.5 ","5,438.1 ",-4.4 ,-561.7 ,"22,998.5 ","23,560.2 ",,"4,906.6 ","7,964.5 ","3,057.9 ","136,340.4 ",,"131,995.5 ","98,752.3 ","33,243.2 ",,"27,833.6 ",,"129,180.1 ",,,,,,
7- 9.,"130,273.6 ","75,389.2 ","73,532.7 ","61,056.2 ","4,140.3 ","20,497.0 ",282.8 ,"24,160.8 ","6,373.4 ",5.6 ,-575.5 ,"23,362.9 ","23,938.4 ",,"5,990.0 ","7,943.4 ","1,953.4 ","136,263.6 ",,"130,849.1 ","100,309.3 ","30,539.8 ",,"31,010.7 ",,"129,985.3 ",,,,,,
10-12.,"137,883.2 ","76,641.0 ","74,283.7 ","61,797.4 ","4,160.2 ","20,363.5 ","1,191.1 ","28,381.9 ","7,566.8 ",5.9 ,-427.3 ,"23,187.4 ","23,614.7 ",,"4,067.0 ","7,182.8 ","3,115.8 ","141,950.2 ",,"138,310.5 ","102,355.8 ","35,954.7 ",,"32,090.5 ",,"136,686.2 ",,,,,,
2016/ 1- 3.,"133,195.4 ","74,155.7 ","72,605.9 ","60,126.6 ","3,996.3 ","23,231.1 ","-2,450.2 ","25,596.4 ","7,470.1 ",24.1 ,"1,171.9 ","22,203.2 ","21,031.3 ",,"5,472.7 ","7,380.5 ","1,907.8 ","138,668.1 ",,"132,023.5 ","98,932.9 ","33,090.6 ",,"34,697.4 ",,"135,621.5 ",,,,,,
4- 6.,"132,294.8 ","73,152.9 ","71,245.8 ","58,770.4 ","3,931.5 ","18,229.1 ","2,161.1 ","28,145.6 ","5,435.4 ",-5.0 ,"1,244.2 ","20,950.0 ","19,705.8 ",,"4,141.9 ","7,620.7 ","3,478.8 ","136,436.7 ",,"131,050.6 ","97,474.6 ","33,576.0 ",,"27,596.0 ",,"130,138.7 ",,,,,,
7- 9.,"130,701.6 ","74,382.0 ","72,473.8 ","60,001.6 ","4,371.3 ","19,702.5 ",28.3 ,"24,444.3 ","6,417.0 ",-10.4 ,"1,366.5 ","20,942.7 ","19,576.1 ",,"5,288.1 ","7,426.1 ","2,138.0 ","135,989.7 ",,"129,335.0 ","98,484.1 ","30,850.9 ",,"30,490.8 ",,"130,683.7 ",,,,,,
10-12.,"139,345.4 ","76,549.7 ","74,088.4 ","61,612.2 ","4,454.3 ","20,184.4 ",737.8 ,"28,388.5 ","7,529.9 ",-23.6 ,"1,524.5 ","23,016.7 ","21,492.3 ",,"3,118.7 ","6,593.7 ","3,475.0 ","142,464.1 ",,"137,820.9 ","101,926.2 ","35,894.7 ",,"32,168.6 ",,"138,631.2 ",,,,,,
2017/ 1- 3.,"134,509.0 ","74,803.7 ","73,163.9 ","60,685.5 ","4,279.8 ","23,696.0 ","-2,487.2 ","25,438.0 ","7,571.4 ",-37.5 ,"1,244.9 ","24,022.7 ","22,777.8 ",,"5,655.4 ","7,863.0 ","2,207.6 ","140,164.4 ",,"133,264.1 ","100,292.3 ","32,971.8 ",,"35,547.2 ",,"137,033.7 ",,,,,,
4- 6.,"134,461.1 ","74,790.1 ","72,869.3 ","60,387.5 ","4,175.1 ","19,108.1 ","1,433.4 ","28,371.2 ","5,684.9 ",18.3 ,880.0 ,"23,156.2 ","22,276.2 ",,"4,266.1 ","8,066.9 ","3,800.8 ","138,727.2 ",,"133,581.1 ","99,506.8 ","34,074.4 ",,"28,968.1 ",,"133,009.4 ",,,,,,
7- 9.,"134,034.1 ","75,181.1 ","73,254.5 ","60,761.4 ","4,480.8 ","20,905.3 ",475.8 ,"24,673.3 ","6,516.0 ",19.2 ,"1,782.5 ","23,994.1 ","22,211.6 ",,"6,043.5 ","8,320.0 ","2,276.5 ","140,077.6 ",,"132,251.6 ","101,043.0 ","31,208.6 ",,"31,902.1 ",,"133,539.1 ",,,,,,
10-12.,"142,893.2 ","77,867.1 ","75,385.2 ","62,886.8 ","4,375.2 ","21,424.6 ","1,733.9 ","28,624.3 ","7,674.6 ",22.5 ,"1,171.0 ","25,733.9 ","24,562.9 ",,"3,618.8 ","7,290.4 ","3,671.5 ","146,512.0 ",,"141,722.2 ","105,400.8 ","36,321.4 ",,"33,474.4 ",,"141,136.8 ",,,,,,
2018/ 1- 3.,"136,159.6 ","75,421.8 ","73,801.6 ","61,304.5 ","4,060.1 ","24,479.4 ","-2,320.4 ","25,750.5 ","7,690.1 ",13.3 ,"1,064.8 ","25,386.6 ","24,321.8 ",,"5,538.2 ","8,090.0 ","2,551.9 ","141,697.8 ",,"135,094.9 ","101,640.9 ","33,454.0 ",,"36,229.6 ",,"138,466.8 ",,,,,,
4- 6.,"135,979.2 ","74,835.6 ","72,975.0 ","60,472.3 ","3,851.3 ","20,100.9 ","1,579.7 ","28,957.3 ","5,895.7 ",15.1 ,743.5 ,"24,992.9 ","24,249.4 ",,"4,710.4 ","8,958.9 ","4,248.6 ","140,689.6 ",,"135,235.7 ","100,367.5 ","34,868.2 ",,"29,847.9 ",,"134,384.4 ",,,,,,
7- 9.,"133,195.0 ","75,884.3 ","73,987.5 ","61,476.0 ","4,215.7 ","20,924.5 ",261.6 ,"25,086.5 ","6,693.8 ",20.2 ,108.3 ,"24,886.5 ","24,778.2 ",,"6,185.3 ","8,896.1 ","2,710.9 ","139,380.3 ",,"133,086.7 ","101,286.2 ","31,800.5 ",,"31,834.0 ",,"132,913.1 ",,,,,,
10-12.,"141,517.9 ","78,286.1 ","75,852.1 ","63,338.9 ","4,313.8 ","22,004.9 ","1,534.6 ","28,540.9 ","7,740.9 ",10.4 ,-913.8 ,"26,144.9 ","27,058.8 ",,"3,850.2 ","7,990.6 ","4,140.3 ","145,368.1 ",,"142,431.7 ","106,139.5 ","36,292.2 ",,"34,059.7 ",,"139,972.9 ",,,,,,
2019/ 1- 3.,"137,430.9 ","75,778.8 ","74,187.2 ","61,664.1 ","4,132.7 ","25,010.1 ","-1,940.6 ","25,922.7 ","7,891.2 ",0.4 ,635.6 ,"24,673.0 ","24,037.4 ",,"5,794.4 ","8,592.2 ","2,797.7 ","143,225.4 ",,"136,795.3 ","102,981.0 ","33,814.3 ",,"37,034.0 ",,"139,371.1 ",,,,,,
4- 6.,"137,783.3 ","75,717.0 ","73,803.9 ","61,270.0 ","3,993.8 ","20,287.4 ","2,042.6 ","29,640.0 ","6,028.8 ",1.4 ,72.2 ,"24,068.9 ","23,996.7 ",,"4,580.9 ","9,220.9 ","4,640.1 ","142,364.2 ",,"137,711.1 ","102,040.9 ","35,670.2 ",,"30,310.0 ",,"135,739.3 ",,,,,,
7- 9.,"136,299.8 ","76,974.0 ","75,029.1 ","62,483.8 ","4,429.4 ","22,117.6 ",-20.7 ,"25,891.1 ","7,040.3 ",-11.5 ,-120.4 ,"23,650.9 ","23,771.4 ",,"6,233.1 ","9,336.7 ","3,103.5 ","142,532.9 ",,"136,420.2 ","103,500.3 ","32,919.9 ",,"33,587.3 ",,"136,331.9 ",,,,,,
10-12.,"142,226.8 ","77,307.3 ","74,627.7 ","62,067.8 ","4,424.4 ","21,025.8 ","1,211.5 ","29,360.9 ","8,317.6 ",5.5 ,573.6 ,"24,576.1 ","24,002.5 ",,"3,427.2 ","7,689.9 ","4,262.6 ","145,654.0 ",,"141,653.1 ","103,969.1 ","37,684.1 ",,"33,767.8 ",,"141,009.7 ",,,,,,
2020/ 1- 3.,"136,249.0 ","74,474.5 ","72,627.0 ","60,059.7 ","3,996.9 ","24,601.9 ","-2,323.2 ","26,754.5 ","8,220.9 ",18.8 ,504.8 ,"22,597.9 ","22,093.1 ",,"5,694.0 ","8,487.7 ","2,793.7 ","141,943.0 ",,"135,744.3 ","100,750.1 ","34,994.2 ",,"36,819.8 ",,"138,553.5 ",,,,,,
